,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
873,48.40678267,0.00843871,0.00845810,0.00034866,0.00034946,1.60253906,1.60253906,1.69726562,1.69726562,0.00159229,0.00159597,777.50000000,777.50000000,1108.76421267,1111.33127741,1327.09945722,1327.09322542,94.27693685,94.27693685,120.01167579,120.01148839
874,48.48207255,0.01418718,0.01418353,0.00058525,0.00058510,1.60253906,1.60253906,1.69726562,1.69726562,0.00267333,0.00267269,780.50000000,780.50000000,1866.95616274,1866.50831902,1327.51713118,1327.51186821,94.64070638,94.64070638,120.33331186,120.33315359
875,48.50751508,0.01562925,0.01564833,0.00064441,0.00064519,1.60351562,1.60351562,1.69824219,1.69824219,0.00294372,0.00294737,780.50000000,780.50000000,2057.80425624,2060.35168536,1328.22012096,1328.21469219,94.64070638,94.64070638,120.36697860,120.36681521
876,48.57206581,0.01754033,0.01752697,0.00072224,0.00072169,1.60351562,1.60351562,1.69921875,1.69921875,0.00329984,0.00329739,783.50000000,783.50000000,2312.49715864,2310.77565269,1328.99454250,1328.99007530,95.00447591,95.00447591,120.69929217,120.69915773
877,48.62896428,0.01483605,0.01486733,0.00061017,0.00061146,1.60449219,1.60449219,1.69921875,1.69921875,0.00278825,0.00279417,787.00000000,787.00000000,1958.25867482,1962.42154252,1329.86427546,1329.85916393,95.42887370,95.42887370,121.20730665,121.20715255
878,48.62985453,0.01203559,0.01205878,0.00049499,0.00049594,1.60546875,1.60546875,1.70019531,1.70019531,0.00226190,0.00226630,790.00000000,790.00000000,1588.64578072,1591.73492127,1330.60033437,1330.59678996,95.87300618,95.87300618,121.66541737,121.66531027
879,48.65232792,0.01817538,0.01815795,0.00074715,0.00074644,1.60546875,1.60546875,1.70019531,1.70019531,0.00341440,0.00341119,790.00000000,790.00000000,2400.18118643,2397.92068438,1331.19716632,1331.19478378,95.87300618,95.87300618,121.68345280,121.68338080
880,48.68713006,0.01962841,0.01963344,0.00080631,0.00080651,1.60644531,1.60644531,1.70117188,1.70117188,0.00368507,0.00368608,793.00000000,793.00000000,2593.91660438,2594.62620013,1332.09837354,1332.09514414,96.39841715,96.39841715,122.23693680,122.23683897
881,48.69935494,0.01788987,0.01792769,0.00073471,0.00073626,1.60742188,1.60742188,1.70214844,1.70214844,0.00335794,0.00336510,796.00000000,796.00000000,2364.76039345,2369.80142490,1333.07163851,1333.06867762,96.76310221,96.76310221,122.58964592,122.58955616
882,48.70546622,0.01667910,0.01667815,0.00068490,0.00068486,1.60839844,1.60839844,1.70312500,1.70312500,0.00313033,0.00313021,799.00000000,799.00000000,2204.99305965,2204.90493978,1333.95830287,1333.95723345,97.12778727,97.12778727,122.95074810,122.95071563
883,48.75344098,0.01882056,0.01880544,0.00077207,0.00077145,1.60839844,1.60839844,1.70410156,1.70312500,0.00352922,0.00352644,802.50000000,802.50000000,2490.54621302,2488.58915794,1334.78453199,1334.78343023,97.55325317,97.55325317,123.33699502,123.33696156
884,48.80236656,0.01466146,0.01462736,0.00060085,0.00059945,1.60937500,1.60937500,1.70410156,1.70410156,0.00274690,0.00274056,805.50000000,805.50000000,1942.11412573,1937.63159774,1335.71714560,1335.71531202,97.99987793,97.99987793,123.77947236,123.77941664
885,48.83019120,0.01337771,0.01335192,0.00054793,0.00054687,1.61035156,1.61035156,1.70507812,1.70507812,0.00250514,0.00250036,805.50000000,805.50000000,1773.07481076,1769.68704079,1336.44394091,1336.44043128,98.16375732,98.16375732,124.03296416,124.03285716
886,48.84592561,0.01984498,0.01983454,0.00081255,0.00081213,1.61035156,1.61035156,1.70507812,1.70507812,0.00371518,0.00371329,808.50000000,808.50000000,2631.09054115,2629.75223900,1337.10713183,1337.10235712,98.52935791,98.52935791,124.36338200,124.36323643
887,48.95360351,0.01668852,0.01666654,0.00068181,0.00068091,1.61132812,1.61132812,1.70605469,1.70605469,0.00311827,0.00311421,812.00000000,812.00000000,2217.47761508,2214.59507181,1338.09064437,1338.08537308,98.79069010,98.79069010,124.55905028,124.55888972
888,48.96388304,0.01112803,0.01113316,0.00045454,0.00045475,1.61230469,1.61230469,1.70703125,1.70703125,0.00207890,0.00207990,815.00000000,815.00000000,1478.94165690,1479.64884478,1338.91898566,1338.91264118,99.15568034,99.15568034,124.90695444,124.90676104
889,49.06655989,0.01313743,0.01316933,0.00053549,0.00053679,1.61230469,1.61230469,1.70703125,1.70703125,0.00244982,0.00245581,815.00000000,815.00000000,1749.65718895,1753.93526253,1339.47116125,1339.46508337,99.15568034,99.15568034,124.92378709,124.92360182
890,49.06788334,0.01046440,0.01045118,0.00042653,0.00042599,1.61328125,1.61328125,1.70800781,1.70800781,0.00195132,0.00194888,818.00000000,818.00000000,1393.69775747,1391.96043006,1340.12411701,1340.11963825,99.68709310,99.68709310,125.59818341,125.59804633
891,49.08662851,0.01604650,0.01601527,0.00065380,0.00065253,1.61328125,1.61328125,1.70800781,1.70800781,0.00299123,0.00298546,818.00000000,818.00000000,2137.96370356,2133.83989229,1340.64400448,1340.63887951,99.68709310,99.68709310,125.61409627,125.61393941
892,49.10933364,0.01574819,0.01576251,0.00064135,0.00064194,1.61425781,1.61425781,1.70898438,1.70898438,0.00293443,0.00293715,821.50000000,821.50000000,2099.18844996,2101.13401601,1341.44113194,1341.43447292,100.11362712,100.11362712,126.00141714,126.00121330
893,49.15350143,0.01905268,0.01904757,0.00077523,0.00077502,1.61523438,1.61425781,1.70996094,1.70996094,0.00354740,0.00354651,824.50000000,824.50000000,2541.95175522,2541.31435269,1342.22334167,1342.21741129,100.47922770,100.47922770,126.35930742,126.33536630
894,49.18849905,0.01585034,0.01584618,0.00064447,0.00064430,1.61523438,1.61523438,1.71093750,1.71093750,0.00294933,0.00294861,828.00000000,828.00000000,2116.21030299,2115.69278649,1343.16992621,1343.16376273,100.90576172,100.90576172,126.75005032,126.74986138
895,49.20015940,0.02006657,0.02003693,0.00081571,0.00081451,1.61621094,1.61621094,1.71093750,1.71093750,0.00373308,0.00372763,831.00000000,831.00000000,2679.76317183,2675.85094831,1343.95746249,1343.95111009,101.27136230,101.27136230,127.09601296,127.09581808
896,49.23600315,0.01387296,0.01383774,0.00056353,0.00056210,1.61718750,1.61718750,1.71191406,1.71191406,0.00257922,0.00257272,834.50000000,834.50000000,1853.99521949,1849.32134470,1344.95406023,1344.94625813,101.78278605,101.78278605,127.60735087,127.60711111
897,49.35840081,0.01306248,0.01303909,0.00052929,0.00052834,1.61718750,1.61718750,1.71289062,1.71289062,0.00242329,0.00241899,834.50000000,834.50000000,1750.02205583,1746.91907267,1345.64312481,1345.63359002,101.78278605,101.78278605,127.62852554,127.62823254
898,49.48158936,0.00716391,0.00717200,0.00028956,0.00028989,1.61816406,1.61816406,1.71289062,1.71289062,0.00132613,0.00132765,837.50000000,837.50000000,962.16742398,963.26994992,1346.29322267,1346.28254006,102.31908162,102.31908162,128.19550194,128.19517263
899,49.56900385,0.02214733,0.02212619,0.00089360,0.00089274,1.61816406,1.61816406,1.71386719,1.71289062,0.00409345,0.00408962,837.50000000,837.50000000,2979.80828689,2977.01596631,1346.65051474,1346.64024432,102.31908162,102.31908162,128.20651612,128.20619952
900,49.57730021,0.01821481,0.01824190,0.00073480,0.00073590,1.61914062,1.61914062,1.71386719,1.71386719,0.00336612,0.00337119,841.00000000,841.00000000,2451.11860071,2454.80606799,1347.75643836,1347.74514044,102.74668376,102.74668376,128.60386582,128.60351752
901,49.58002898,0.02022265,0.02023731,0.00081576,0.00081635,1.62011719,1.62011719,1.71484375,1.71484375,0.00373699,0.00373977,844.00000000,844.00000000,2721.45774375,2723.47821902,1348.66546472,1348.65554151,103.11319987,103.11319987,128.96561492,128.96530854
902,49.58461296,0.01358595,0.01358622,0.00054799,0.00054800,1.62109375,1.62109375,1.71582031,1.71582031,0.00251038,0.00251047,847.50000000,847.50000000,1828.49412221,1828.56233772,1349.67403230,1349.66486502,103.62701416,103.62701416,129.48968873,129.48940504
903,49.58723219,0.01806409,0.01806833,0.00072858,0.00072875,1.62109375,1.62109375,1.71679688,1.71679688,0.00333769,0.00333853,850.50000000,850.50000000,2431.32383022,2431.93658515,1350.35124601,1350.34210858,103.99383545,103.99383545,129.82116711,129.82088434
904,49.58952390,0.00895527,0.00898841,0.00036118,0.00036251,1.62207031,1.62207031,1.71679688,1.71679688,0.00165459,0.00166074,854.00000000,854.00000000,1205.38345775,1209.86618506,1351.25120219,1351.24229759,104.50866699,104.50866699,130.32052815,130.32025234
