"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
5.91033301,0.02709135,0.02714645,0.06395891,0.06396018,1.21875000,1.21875000,38.75000000,38.75000000,0.00000000,0.00000000,0.00000000,0.00000000
5.97673001,0.02637287,0.02642237,0.06454488,0.06454724,1.22070312,1.22070312,39.09375000,39.09375000,0.00000000,0.00000000,0.00000000,0.00000000
6.04312702,0.02539144,0.02543429,0.06510284,0.06510615,1.22363281,1.22363281,39.46875000,39.46875000,0.00000000,0.00000000,0.00000000,0.00000000
6.10952402,0.02415328,0.02418900,0.06562783,0.06563190,1.22558594,1.22558594,39.78125000,39.78125000,0.00000000,0.00000000,0.00000000,0.00000000
6.17592102,0.02269421,0.02272279,0.06611580,0.06612049,1.22753906,1.22753906,40.09375000,40.09375000,0.00000000,0.00000000,0.00000000,0.00000000
6.24231802,0.02106742,0.02108933,0.06656396,0.06656913,1.22949219,1.22949219,40.40625000,40.40625000,0.00000000,0.00000000,0.00000000,0.00000000
6.30871502,0.01934033,0.01935629,0.06697106,0.06697656,1.23144531,1.23144531,40.68750000,40.68750000,0.00000000,0.00000000,0.00000000,0.00000000
6.37511202,0.01758108,0.01759196,0.06733728,0.06734300,1.23242188,1.23242188,40.90625000,40.90625000,0.00000000,0.00000000,0.00000000,0.00000000
6.44150902,0.01585725,0.01586379,0.06766418,0.06767004,1.23437500,1.23437500,41.15625000,41.15625000,0.00000000,0.00000000,0.00000000,0.00000000
6.50790602,0.01423269,0.01423530,0.06795460,0.06796052,1.23535156,1.23535156,41.34375000,41.34375000,0.00000000,0.00000000,0.00000000,0.00000000
6.57430302,0.01276376,0.01276240,0.06821242,0.06821830,1.23632812,1.23632812,41.53125000,41.53125000,0.00000000,0.00000000,0.00000000,0.00000000
6.64070002,0.01150487,0.01149877,0.06844248,0.06844825,1.23730469,1.23730469,41.68750000,41.68750000,0.00000000,0.00000000,0.00000000,0.00000000
6.70709702,0.01050771,0.01049536,0.06865052,0.06865604,1.23828125,1.23828125,41.84375000,41.84375000,0.00000000,0.00000000,0.00000000,0.00000000
6.77349402,0.00982491,0.00980387,0.06884314,0.06884824,1.23925781,1.23925781,42.00000000,42.00000000,0.00000000,0.00000000,0.00000000,0.00000000
6.83989102,0.00951100,0.00947794,0.06902779,0.06903226,1.23925781,1.23925781,42.12500000,42.12500000,0.00000000,0.00000000,0.00000000,0.00000000
6.90628802,0.00961758,0.00956844,0.06921272,0.06921624,1.24023438,1.24023438,42.28125000,42.28125000,0.00000000,0.00000000,0.00000000,0.00000000
6.97268502,0.01018850,0.01011882,0.06940676,0.06940895,1.24121094,1.24121094,42.40625000,42.40625000,0.00000000,0.00000000,0.00000000,0.00000000
7.03908202,0.01124922,0.01115513,0.06961898,0.06961939,1.24218750,1.24218750,42.59375000,42.59375000,0.00000000,0.00000000,0.00000000,0.00000000
7.10547902,0.01279333,0.01267185,0.06985807,0.06985622,1.24316406,1.24316406,42.78125000,42.78125000,0.00000000,0.00000000,0.00000000,0.00000000
7.17187602,0.01477814,0.01462858,0.07013170,0.07012708,1.24414062,1.24414062,43.00000000,43.00000000,0.00000000,0.00000000,0.00000000,0.00000000
7.23827302,0.01711161,0.01693661,0.07044563,0.07043780,1.24609375,1.24609375,43.25000000,43.25000000,0.00000000,0.00000000,0.00000000,0.00000000
