,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
99,11.08722940,0.64871786,0.64871786,1.55586565,1.55586565,11.63281250,11.63281250,215.75000000,215.75000000,1.37203777,1.37203777,7.18495615,7.18495615
100,11.19921151,0.58713850,0.58713850,1.56760740,1.56760740,11.87500000,11.87500000,217.87500000,217.87500000,1.40923381,1.40923381,7.38710007,7.38710007
101,11.31119363,0.52835577,0.52835577,1.57806885,1.57806885,12.09375000,12.09375000,219.87500000,219.87500000,1.44454849,1.44454849,7.58625832,7.58625832
102,11.42317575,0.46836134,0.46836134,1.58725166,1.58725166,12.29687500,12.29687500,221.62500000,221.62500000,1.47567594,1.47567594,7.74892048,7.74892048
103,11.53515786,0.40897610,0.40897610,1.59519231,1.59519231,12.46875000,12.46875000,223.12500000,223.12500000,1.50369430,1.50369430,7.90319375,7.90319375
104,11.64713998,0.35763499,0.35763499,1.60206926,1.60206926,12.61718750,12.61718750,224.50000000,224.50000000,1.52756274,1.52756274,8.03986359,8.03986359
105,11.75912209,0.32280616,0.32280616,1.60821748,1.60821748,12.75781250,12.75781250,225.62500000,225.62500000,1.54978383,1.54978383,8.15673110,8.15673110
106,11.87110421,0.31141430,0.31141430,1.61409271,1.61409271,12.89062500,12.89062500,226.87500000,226.87500000,1.57071948,1.57071948,8.27062066,8.27062066
107,11.98308632,0.32896043,0.32896043,1.62024093,1.62024093,13.03125000,13.03125000,228.12500000,228.12500000,1.59311283,1.59311283,8.39378008,8.39378008
108,12.09506844,0.37977438,0.37977438,1.62727320,1.62727320,13.19531250,13.19531250,229.50000000,229.50000000,1.61865342,1.61865342,8.53303454,8.53303454
109,12.20705055,0.46364182,0.46364182,1.63577974,1.63577974,13.39843750,13.39843750,231.25000000,231.25000000,1.65135801,1.65135801,8.71353157,8.71353157
110,12.31903267,0.57000153,0.57000153,1.64614260,1.64614260,13.64843750,13.64843750,233.50000000,233.50000000,1.69167113,1.69167113,8.93346927,8.93346927
111,12.43101478,0.67789036,0.67789036,1.65835583,1.65835583,13.94531250,13.94531250,236.12500000,236.12500000,1.73855996,1.73855996,9.19373876,9.19373876
112,12.54299690,0.76626369,0.76626369,1.67203796,1.67203796,14.29687500,14.29687500,239.00000000,239.00000000,1.79535282,1.79535282,9.49408493,9.49408493
113,12.65497901,0.82598121,0.82598121,1.68665600,1.68665600,14.67187500,14.67187500,242.12500000,242.12500000,1.85585248,1.85585248,9.81859586,9.81859586
114,12.76696113,0.86303990,0.86303990,1.70179582,1.70179582,15.07812500,15.07812500,245.37500000,245.37500000,1.92094934,1.92094934,10.16891242,10.16891242
115,12.87894324,0.89392293,0.89392293,1.71734107,1.71734107,15.50000000,15.50000000,248.75000000,248.75000000,1.98942065,1.98942065,10.52895929,10.52895929
116,12.99092536,0.94061575,0.94061575,1.73355734,1.73355734,15.96093750,15.96093750,252.25000000,252.25000000,2.06400466,2.06400466,10.91850840,10.91850840
117,13.10290747,1.02261410,1.02261410,1.75103664,1.75103664,16.46875000,16.46875000,256.00000000,256.00000000,2.14662838,2.14662838,11.34713362,11.34713362
118,13.21488959,1.13700779,1.13700779,1.77030647,1.77030647,17.04687500,17.04687500,260.25000000,260.25000000,2.24170995,2.24170995,11.83616309,11.83616309
119,13.32687170,1.23826157,1.23826157,1.79111600,1.79111600,17.70312500,17.70312500,264.75000000,264.75000000,2.34933090,2.34933090,12.37577042,12.37577042
120,13.43885382,1.25409841,1.25409841,1.81201613,1.81201613,18.39062500,18.39062500,269.25000000,269.25000000,2.46204758,2.46204758,12.93230730,12.93230730
121,13.55083593,1.14367281,1.14367281,1.83091843,1.83091843,19.03125000,19.03125000,273.50000000,273.50000000,2.56885791,2.56885791,13.46434746,13.46434746
122,13.66281805,0.93824418,0.93824418,1.84629834,1.84629834,19.56250000,19.56250000,276.75000000,276.75000000,2.65638065,2.65638065,13.88502087,13.88502087
123,13.77480016,0.71328464,0.71328464,1.85789561,1.85789561,19.98437500,19.98437500,279.25000000,279.25000000,2.72766805,2.72766805,14.22405406,14.22405406
124,13.88678228,0.52935913,0.52935913,1.86643302,1.86643302,20.29687500,20.29687500,281.25000000,281.25000000,2.77803445,2.77803445,14.46794109,14.46794109
125,13.99876439,0.40928508,0.40928508,1.87298119,1.87298119,20.53125000,20.53125000,282.75000000,282.75000000,2.81868815,2.81868815,14.66763724,14.66763724
126,14.11074651,0.35683736,0.35683736,1.87864482,1.87864482,20.75000000,20.75000000,284.00000000,284.00000000,2.85333085,2.85333085,14.82606918,14.82606918
127,14.22272862,0.37599879,0.37599879,1.88456571,1.88456571,20.96875000,20.96875000,285.25000000,285.25000000,2.89094782,2.89094782,15.00126125,15.00126125
128,14.33471074,0.46637053,0.46637053,1.89185214,1.89185214,21.25000000,21.25000000,287.00000000,287.00000000,2.93799853,2.93799853,15.23045079,15.23045079
129,14.44669285,0.60292086,0.60292086,1.90119922,1.90119922,21.62500000,21.62500000,289.25000000,289.25000000,3.00058246,3.00058246,15.52141025,15.52141025
130,14.55867497,0.72860993,0.72860993,1.91240776,1.91240776,22.06250000,22.06250000,291.75000000,291.75000000,3.07345271,3.07345271,15.86559965,15.86559965
131,14.67065708,0.78339914,0.78339914,1.92436731,1.92436731,22.54687500,22.54687500,294.50000000,294.50000000,3.15547752,3.15547752,16.24415127,16.24415127
132,14.78263920,0.75327698,0.75327698,1.93577981,1.93577981,23.03125000,23.03125000,297.25000000,297.25000000,3.23733783,3.23733783,16.61886278,16.61886278
133,14.89462131,0.68660898,0.68660898,1.94610405,1.94610405,23.46875000,23.46875000,299.75000000,299.75000000,3.31041098,3.31041098,16.95770205,16.95770205
134,15.00660343,0.65320496,0.65320496,1.95585275,1.95585275,23.89062500,23.89062500,302.25000000,302.25000000,3.38314962,3.38314962,17.29353130,17.29353130
135,15.11858555,0.68576830,0.68576830,1.96601152,1.96601152,24.34375000,24.34375000,304.50000000,304.50000000,3.45939875,3.45939875,17.62937670,17.62937670
136,15.23056766,0.76049852,0.76049852,1.97719467,1.97719467,24.85937500,24.85937500,307.25000000,307.25000000,3.54799294,3.54799294,18.02474585,18.02474585
137,15.34254978,0.82623298,0.82623298,1.98925567,1.98925567,25.40625000,25.40625000,310.25000000,310.25000000,3.64085555,3.64085555,18.44570187,18.44570187
138,15.45453189,0.84492310,0.84492310,2.00150013,2.00150013,25.98437500,25.98437500,313.25000000,313.25000000,3.73986816,3.73986816,18.88335647,18.88335647
139,15.56651401,0.81118746,0.81118746,2.01317120,2.01317120,26.56250000,26.56250000,316.25000000,316.25000000,3.83599234,3.83599234,19.30319745,19.30319745
140,15.67849612,0.75013219,0.75013219,2.02388668,2.02388668,27.09375000,27.09375000,318.75000000,318.75000000,3.92865920,3.92865920,19.69856859,19.69856859
141,15.79047824,0.70602078,0.70602078,2.03390050,2.03390050,27.59375000,27.59375000,321.25000000,321.25000000,4.01266813,4.01266813,20.05850766,20.05850766
142,15.90246035,0.72459815,0.72459815,2.04410553,2.04410553,28.12500000,28.12500000,324.00000000,324.00000000,4.10551882,4.10551882,20.47123007,20.47123007
143,16.01444247,0.82485641,0.82485641,2.05564117,2.05564117,28.73437500,28.73437500,326.75000000,326.75000000,4.20884895,4.20884895,20.89883037,20.89883037
144,16.12642458,0.97197353,0.97197353,2.06913996,2.06913996,29.45312500,29.45312500,330.25000000,330.25000000,4.33472204,4.33472204,21.42872622,21.42872622
145,16.23840670,1.08743238,1.08743238,2.08413815,2.08413815,30.29687500,30.29687500,334.00000000,334.00000000,4.48007870,4.48007870,22.02300563,22.02300563
146,16.35038881,1.10791362,1.10791362,2.09931397,2.09931397,31.15625000,31.15625000,338.00000000,338.00000000,4.62664318,4.62664318,22.63789404,22.63789404
147,16.46237093,1.03485875,1.03485875,2.11339283,2.11339283,31.98437500,31.98437500,341.50000000,341.50000000,4.77256060,4.77256060,23.22198785,23.22198785
148,16.57435304,0.91417543,0.91417543,2.12574601,2.12574601,32.75000000,32.75000000,344.75000000,344.75000000,4.90276527,4.90276527,23.72281739,23.72281739
149,16.68633516,0.78130219,0.78130219,2.13623261,2.13623261,33.37500000,33.37500000,347.50000000,347.50000000,5.01395559,5.01395559,24.18708788,24.18708788
150,16.79831727,0.64777813,0.64777813,2.14486909,2.14486909,33.93750000,33.93750000,349.75000000,349.75000000,5.11153603,5.11153603,24.55472633,24.55472633
151,16.91029939,0.52642849,0.52642849,2.15184116,2.15184116,34.37500000,34.37500000,351.50000000,351.50000000,5.18712282,5.18712282,24.85227984,24.85227984
152,17.02228150,0.44005431,0.44005431,2.15763116,2.15763116,34.75000000,34.75000000,353.00000000,353.00000000,5.25260735,5.25260735,25.09840054,25.09840054
153,17.13426362,0.40694450,0.40694450,2.16295028,2.16295028,35.09375000,35.09375000,354.50000000,354.50000000,5.31184483,5.31184483,25.33853439,25.33853439
154,17.24624573,0.43188056,0.43188056,2.16855884,2.16855884,35.46875000,35.46875000,356.00000000,356.00000000,5.37734556,5.37734556,25.59385891,25.59385891
155,17.35822785,0.50497913,0.50497913,2.17507434,2.17507434,35.90625000,35.90625000,357.75000000,357.75000000,5.45580864,5.45580864,25.88658367,25.88658367
156,17.47020996,0.59716996,0.59716996,2.18272996,2.18272996,36.40625000,36.40625000,360.00000000,360.00000000,5.54199171,5.54199171,26.24522846,26.24522846
157,17.58219208,0.66499223,0.66499223,2.19120073,2.19120073,37.00000000,37.00000000,362.25000000,362.25000000,5.64690256,5.64690256,26.62898281,26.62898281
158,17.69417419,0.67754207,0.67754207,2.19977665,2.19977665,37.59375000,37.59375000,364.50000000,364.50000000,5.75234461,5.75234461,27.02814547,27.02814547
159,17.80615631,0.64246421,0.64246421,2.20785761,2.20785761,38.18750000,38.18750000,366.75000000,366.75000000,5.85446644,5.85446644,27.39858316,27.39858316
160,17.91813842,0.59980251,0.59980251,2.21535468,2.21535468,38.71875000,38.71875000,369.00000000,369.00000000,5.94731331,5.94731331,27.76865727,27.76865727
161,18.03012054,0.59231984,0.59231984,2.22271228,2.22271228,39.28125000,39.28125000,371.00000000,371.00000000,6.04597616,6.04597616,28.12092180,28.12092180
162,18.14210265,0.64266566,0.64266566,2.23064590,2.23064590,39.87500000,39.87500000,373.25000000,373.25000000,6.15167761,6.15167761,28.50847254,28.50847254
163,18.25408477,0.74715699,0.74715699,2.23981309,2.23981309,40.56250000,40.56250000,376.00000000,376.00000000,6.27139425,6.27139425,28.97285951,28.97285951
164,18.36606688,0.87958404,0.87958404,2.25053906,2.25053906,41.40625000,41.40625000,379.00000000,379.00000000,6.42328548,6.42328548,29.51760822,29.51760822
165,18.47804900,1.00381378,1.00381378,2.26270580,2.26270580,42.37500000,42.37500000,382.50000000,382.50000000,6.59582424,6.59582424,30.12248901,30.12248901
166,18.59003111,1.08813253,1.08813253,2.27581525,2.27581525,43.43750000,43.43750000,386.25000000,386.25000000,6.78254604,6.78254604,30.79011756,30.79011756
167,18.70201323,1.10687607,1.10687607,2.28907037,2.28907037,44.53125000,44.53125000,390.25000000,390.25000000,6.97632647,6.97632647,31.49852076,31.49852076
168,18.81399535,1.03657414,1.03657414,2.30140996,2.30140996,45.59375000,45.59375000,393.75000000,393.75000000,7.16939259,7.16939259,32.14912138,32.14912138
