,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
52,5.25010389,0.06781896,0.06780371,0.09346469,0.09346215,1.62695312,1.62695312,57.93750000,57.93750000,0.00000000,0.00000000,0.00000000,0.00000000
53,5.35104819,0.06476690,0.06474950,0.09590826,0.09590507,1.64843750,1.64843750,59.31250000,59.31250000,0.00000000,0.00000000,0.00000000,0.00000000
54,5.45199250,0.06240374,0.06238476,0.09821909,0.09821519,1.66992188,1.66992188,60.62500000,60.62500000,0.00000000,0.00000000,0.00000000,0.00000000
55,5.55293680,0.06067818,0.06065837,0.10042517,0.10042056,1.69140625,1.69140625,61.90625000,61.90625000,0.00000000,0.00000000,0.00000000,0.00000000
56,5.65388111,0.05942823,0.05940844,0.10254724,0.10254191,1.71191406,1.71191406,63.15625000,63.15625000,0.00000000,0.00000000,0.00000000,0.00000000
57,5.75482542,0.05842339,0.05840446,0.10459682,0.10459083,1.73144531,1.73144531,64.37500000,64.37500000,0.00000000,0.00000000,0.00000000,0.00000000
58,5.85576972,0.05741441,0.05739712,0.10657629,0.10656971,1.75097656,1.75097656,65.62500000,65.62500000,0.00000000,0.00000000,0.00000000,0.00000000
59,5.95671403,0.05618091,0.05616599,0.10848041,0.10847332,1.76953125,1.76953125,66.81250000,66.81250000,0.00000000,0.00000000,0.00000000,0.00000000
60,6.05765833,0.05456516,0.05455327,0.11029895,0.11029146,1.78808594,1.78808594,67.93750000,67.93750000,0.00000000,0.00000000,0.00000000,0.00000000
61,6.15860264,0.05251056,0.05250234,0.11202032,0.11201257,1.80566406,1.80566406,69.06250000,69.06250000,0.00000000,0.00000000,0.00000000,0.00000000
62,6.25954694,0.05003936,0.05003547,0.11363424,0.11362636,1.82324219,1.82324219,70.06250000,70.06250000,0.00000000,0.00000000,0.00000000,0.00000000
63,6.36049125,0.04726870,0.04726977,0.11513460,0.11512675,1.83886719,1.83886719,71.06250000,71.06250000,0.00000000,0.00000000,0.00000000,0.00000000
64,6.46143555,0.04438787,0.04439440,0.11652150,0.11651386,1.85351562,1.85351562,72.00000000,72.00000000,0.00000000,0.00000000,0.00000000,0.00000000
65,6.56237986,0.04163587,0.04164808,0.11780241,0.11779515,1.86718750,1.86718750,72.87500000,72.87500000,0.00000000,0.00000000,0.00000000,0.00000000
66,6.66332417,0.03927870,0.03929641,0.11899249,0.11898576,1.87988281,1.87988281,73.75000000,73.75000000,0.00000000,0.00000000,0.00000000,0.00000000
67,6.76426847,0.03758519,0.03760769,0.12011427,0.12010822,1.89257812,1.89257812,74.56250000,74.56250000,0.00000000,0.00000000,0.00000000,0.00000000
68,6.86521278,0.03680024,0.03682635,0.12119648,0.12119119,1.90429688,1.90429688,75.31250000,75.31250000,0.00000000,0.00000000,0.00000000,0.00000000
69,6.96615708,0.03713898,0.03716716,0.12227282,0.12226834,1.91601562,1.91601562,76.12500000,76.12500000,0.00000000,0.00000000,0.00000000,0.00000000
70,7.06710139,0.03874687,0.03877540,0.12337971,0.12337606,1.92871094,1.92871094,76.93750000,76.93750000,0.00000000,0.00000000,0.00000000,0.00000000
71,7.16804569,0.04169739,0.04172465,0.12455412,0.12455124,1.94238281,1.94238281,77.87500000,77.87500000,0.00000000,0.00000000,0.00000000,0.00000000
72,7.26899000,0.04598007,0.04600475,0.12583117,0.12582897,1.95703125,1.95703125,78.87500000,78.87500000,0.00000000,0.00000000,0.00000000,0.00000000
73,7.36993430,0.05149709,0.05151832,0.12724186,0.12724024,1.97363281,1.97363281,80.00000000,80.00000000,0.00000000,0.00000000,0.00000000,0.00000000
74,7.47087861,0.05806428,0.05808164,0.12881096,0.12880979,1.99218750,1.99218750,81.25000000,81.25000000,0.00000000,0.00000000,0.00000000,0.00000000
75,7.57182291,0.06543028,0.06544382,0.13055553,0.13055474,2.01171875,2.01171875,82.62500000,82.62500000,0.00000000,0.00000000,0.00000000,0.00000000
76,7.67276722,0.07329789,0.07330796,0.13248417,0.13248365,2.03515625,2.03515625,84.25000000,84.25000000,0.00000000,0.00000000,0.00000000,0.00000000
77,7.77371153,0.08134962,0.08135676,0.13459688,0.13459654,2.06054688,2.06054688,85.93750000,85.93750000,0.00000000,0.00000000,0.00000000,0.00000000
78,7.87465583,0.08927868,0.08928353,0.13688578,0.13688557,2.08984375,2.08984375,87.87500000,87.87500000,0.00000000,0.00000000,0.00000000,0.00000000
79,7.97560014,0.09680399,0.09680715,0.13933621,0.13933608,2.12109375,2.12109375,89.87500000,89.87500000,0.00000000,0.00000000,0.00000000,0.00000000
80,8.07654444,0.10369165,0.10369360,0.14192818,0.14192809,2.15429688,2.15429688,92.06250000,92.06250000,0.00000000,0.00000000,0.00000000,0.00000000
81,8.17748875,0.10974488,0.10974603,0.14463760,0.14463754,2.18945312,2.18945312,94.31250000,94.31250000,0.00000000,0.00000000,0.00000000,0.00000000
82,8.27843305,0.11480686,0.11480752,0.14743742,0.14743738,2.22656250,2.22656250,96.62500000,96.62500000,0.00000000,0.00000000,0.00000000,0.00000000
83,8.37937736,0.11874007,0.11874043,0.15029830,0.15029825,2.26562500,2.26562500,99.00000000,99.00000000,0.00000000,0.00000000,0.00000000,0.00000000
84,8.48032166,0.12140840,0.12140856,0.15318863,0.15318860,2.30468750,2.30468750,101.37500000,101.37500000,0.00000000,0.00000000,0.00000000,0.00000000
85,8.58126597,0.12268413,0.12268417,0.15607497,0.15607494,2.34570312,2.34570312,103.81250000,103.81250000,0.00000000,0.00000000,0.00000000,0.00000000
86,8.68221028,0.12245321,0.12245313,0.15892240,0.15892236,2.38671875,2.38671875,106.18750000,106.18750000,0.00000000,0.00000000,0.00000000,0.00000000
87,8.78315458,0.12064047,0.12064018,0.16169542,0.16169539,2.42773438,2.42773438,108.50000000,108.50000000,0.00000000,0.00000000,0.00000000,0.00000000
88,8.88409889,0.11724289,0.11724227,0.16435973,0.16435969,2.46679688,2.46679688,110.68750000,110.68750000,0.00000000,0.00000000,0.00000000,0.00000000
89,8.98504319,0.11236650,0.11236533,0.16688454,0.16688447,2.50390625,2.50390625,112.81250000,112.81250000,0.00000000,0.00000000,0.00000000,0.00000000
90,9.08598750,0.10624829,0.10624613,0.16924536,0.16924523,2.54101562,2.54101562,114.81250000,114.81250000,0.00000000,0.00000000,0.00000000,0.00000000
91,9.18693180,0.09925731,0.09925348,0.17142661,0.17142639,2.57617188,2.57617188,116.62500000,116.62500000,0.00000000,0.00000000,0.00000000,0.00000000
92,9.28787611,0.09186886,0.09186232,0.17342354,0.17342319,2.60742188,2.60742188,118.31250000,118.31250000,0.00000001,0.00000001,0.00000001,0.00000001
93,9.38882041,0.08461400,0.08460324,0.17524301,0.17524241,2.63671875,2.63671875,119.87500000,119.87500000,0.00000001,0.00000001,0.00000001,0.00000001
94,9.48976472,0.07801286,0.07799577,0.17690267,0.17690173,2.66406250,2.66406250,121.31250000,121.31250000,0.00000002,0.00000002,0.00000002,0.00000002
95,9.59070903,0.07250478,0.07247855,0.17842893,0.17842743,2.68945312,2.68945312,122.62500000,122.62500000,0.00000003,0.00000003,0.00000003,0.00000003
96,9.69165333,0.06838772,0.06834884,0.17985353,0.17985122,2.71289062,2.71289062,123.87500000,123.87500000,0.00000004,0.00000004,0.00000005,0.00000005
97,9.79259764,0.06578482,0.06572910,0.18120977,0.18120632,2.73437500,2.73437500,125.12500000,125.12500000,0.00000005,0.00000005,0.00000006,0.00000006
98,9.89354194,0.06463353,0.06455627,0.18252869,0.18252365,2.75781250,2.75781250,126.31250000,126.31250000,0.00000007,0.00000007,0.00000009,0.00000009
99,9.99448625,0.06470680,0.06460305,0.18383577,0.18382864,2.77929688,2.77929688,127.50000000,127.50000000,0.00000010,0.00000010,0.00000011,0.00000011
100,10.09543055,0.06565904,0.06552404,0.18514882,0.18513899,2.80273438,2.80273438,128.75000000,128.75000000,0.00000013,0.00000013,0.00000015,0.00000015
101,10.19637486,0.06708613,0.06691576,0.18647712,0.18646392,2.82617188,2.82617188,129.87500000,129.87500000,0.00000017,0.00000017,0.00000020,0.00000020
102,10.29731916,0.06858773,0.06837904,0.18782185,0.18780456,2.84960938,2.84960938,131.25000000,131.25000000,0.00000022,0.00000021,0.00000026,0.00000025
103,10.39826347,0.06982564,0.06957731,0.18917756,0.18915544,2.87304688,2.87304688,132.50000000,132.50000000,0.00000028,0.00000028,0.00000033,0.00000033
104,10.49920778,0.07055402,0.07026677,0.19053425,0.19050661,2.89843750,2.89843750,133.75000000,133.75000000,0.00000036,0.00000035,0.00000042,0.00000042
105,10.60015208,0.07063700,0.07031378,0.19187959,0.19184579,2.92187500,2.92187500,135.12500000,135.12500000,0.00000045,0.00000045,0.00000054,0.00000054
