,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
352,31.46232846,0.12656144,0.12652416,0.00804527,0.00804290,2.36132812,2.36132812,0.01948830,0.01948309,138.37500000,138.37500000,6070.15913452,6068.53488149,686.86945250,686.86715494,22.09968567,22.09968567,65.32167086,65.32150509
353,31.50792714,0.12528460,0.12541044,0.00795258,0.00796056,2.36914062,2.36914062,0.01926758,0.01928746,141.12500000,141.12500000,6017.62768071,6023.83463446,691.27404400,691.27058625,22.58195241,22.58195241,66.27058273,66.27033156
354,32.01273163,0.00267746,0.00269089,0.00016727,0.00016811,2.37695312,2.37695312,0.00040615,0.00040820,143.87500000,143.87500000,130.66312721,131.32235443,695.61298981,695.61401513,23.06589762,23.06589762,67.22477414,67.22484908
355,32.01273163,0.00267746,0.00269089,0.00016727,0.00016811,2.37890625,2.37890625,0.00040615,0.00040820,143.87500000,143.87500000,130.66312721,131.32235443,695.70690288,695.70840185,23.03662618,23.03662618,67.20807780,67.20818739
356,32.04986580,0.00332595,0.00334651,0.00020755,0.00020883,2.37890625,2.37890625,0.00050402,0.00050715,143.87500000,143.87500000,162.49869849,163.50771981,695.80080328,695.80277576,23.03662618,23.03662618,67.21494329,67.21508751
357,32.04986580,0.00332595,0.00334651,0.00020755,0.00020883,2.37890625,2.37890625,0.00050402,0.00050715,143.87500000,143.87500000,162.49869849,163.50771981,695.91756448,695.92026158,23.03662618,23.03662618,67.22348025,67.22367745
358,32.12447703,0.06612924,0.06605735,0.00411706,0.00411259,2.37890625,2.37890625,0.01000127,0.00999066,143.87500000,143.87500000,3238.45168465,3235.01815818,696.03430608,696.03772756,23.03662618,23.03662618,67.23201578,67.23226594
359,32.17808529,0.06459670,0.06464844,0.00401495,0.00401817,2.38281250,2.38281250,0.00975543,0.00976350,145.50000000,145.50000000,3168.67951563,3171.30316884,698.35679057,698.35774239,23.34121704,23.34121704,67.84594188,67.84601179
360,32.18551775,0.06177015,0.06182559,0.00383838,0.00384183,2.38671875,2.38671875,0.00932670,0.00933532,146.62500000,146.62500000,3030.72803913,3033.53015667,700.62178559,700.62460670,23.55152130,23.55152130,68.29473769,68.29494550
361,32.23407235,0.08508304,0.08519937,0.00527907,0.00528629,2.39062500,2.39062500,0.01283000,0.01284789,148.37500000,148.37500000,4180.86325174,4186.69244655,702.78134187,702.78614790,23.83261363,23.83261363,68.72682799,68.72718267
362,32.30752119,0.05254946,0.05257500,0.00325308,0.00325466,2.39648438,2.39648438,0.00790857,0.00791263,150.12500000,150.12500000,2588.09181588,2589.41960960,705.74958572,705.75850128,24.15952047,24.15952047,69.46423880,69.46490065
363,32.31882552,0.02778603,0.02772739,0.00171949,0.00171587,2.39843750,2.39843750,0.00418047,0.00417176,151.37500000,151.37500000,1368.95712583,1366.10484858,707.58078659,707.59061733,24.37608083,24.37608083,69.84850354,69.84923488
364,32.38031877,0.00466505,0.00464789,0.00028814,0.00028708,2.40039062,2.40039062,0.00070072,0.00069816,151.87500000,151.87500000,230.27410972,229.43308001,708.54747666,708.55528125,24.45659637,24.45659637,69.98899631,69.98957709
365,32.41372638,0.12413014,0.12422331,0.00765911,0.00766486,2.40039062,2.40039062,0.01862841,0.01864289,151.87500000,151.87500000,6133.57943244,6138.34925608,708.70995533,708.71716479,24.45659637,24.45659637,70.00108707,70.00162356
366,32.47290692,0.00211292,0.00209997,0.00013013,0.00012934,2.40820312,2.40820312,0.00031659,0.00031466,154.87500000,154.87500000,104.59544629,103.95708395,713.02410914,713.03461972,25.01846313,25.01846313,71.13839486,71.13918376
367,32.47290692,0.00211292,0.00209997,0.00013013,0.00012934,2.40820312,2.40820312,0.00031659,0.00031466,154.87500000,154.87500000,104.59544629,103.95708395,713.09745173,713.10751363,25.01846313,25.01846313,71.14389976,71.14465498
368,32.49696194,0.00397730,0.00397039,0.00024478,0.00024435,2.40820312,2.40820312,0.00059556,0.00059454,154.87500000,154.87500000,197.03312793,196.69573928,713.17078678,713.18040010,25.01846313,25.01846313,71.14940409,71.15012564
369,32.49696194,0.00397730,0.00396991,0.00024478,0.00024433,2.41015625,2.41015625,0.00059556,0.00059447,154.87500000,154.87500000,197.03312793,196.67236209,713.30891221,713.31828718,25.00270844,25.00270844,71.12651500,71.12721841
370,32.55923235,0.06779636,0.06781993,0.00416449,0.00416594,2.41015625,2.41015625,0.01013501,0.01013881,155.50000000,155.50000000,3365.02552849,3366.28579695,713.44701090,713.45613123,25.10360718,25.10360718,71.20792754,71.20861185
371,32.72837287,0.02723138,0.02716277,0.00166408,0.00165989,2.41406250,2.41406250,0.00405269,0.00404259,156.75000000,156.75000000,1358.63220888,1355.24536918,715.80141303,715.81138366,25.32135010,25.32135010,71.72776342,71.72851433
372,32.91849870,0.02800434,0.02802890,0.00170143,0.00170293,2.41601562,2.41601562,0.00414691,0.00415066,157.37500000,157.37500000,1405.31346069,1406.58369742,716.74981347,716.75740830,25.42231242,25.42231242,71.90418719,71.90475964
373,33.02632760,0.07784416,0.07790622,0.00471407,0.00471783,2.41796875,2.41796875,0.01149471,0.01150419,158.00000000,158.00000000,3919.17015203,3922.40072551,717.72948147,717.73795082,25.55541992,25.55541992,72.20201651,72.20265663
374,33.04844065,0.05208507,0.05215672,0.00315204,0.00315638,2.42187500,2.42187500,0.00768660,0.00769738,159.87500000,159.87500000,2624.04952825,2627.73023211,720.45456395,720.46524328,25.87495168,25.87495168,72.74035341,72.74116246
375,33.09229536,0.04723211,0.04716188,0.00285457,0.00285032,2.42578125,2.42578125,0.00696242,0.00695226,161.12500000,161.12500000,2382.71458239,2379.23583629,722.27337501,722.28657540,26.11003876,26.11003876,73.24093375,73.24193748
376,33.21748498,0.02579183,0.02584807,0.00155291,0.00155629,2.42773438,2.42773438,0.00378955,0.00379792,162.37500000,162.37500000,1306.04061150,1308.92371196,723.92095068,723.93171836,26.32911682,26.32911682,73.61682632,73.61764679
377,33.30761609,0.10902705,0.10893971,0.00654667,0.00654143,2.42968750,2.42968750,0.01598169,0.01596932,163.00000000,163.00000000,5535.86666271,5531.58132599,724.82244960,724.83519269,26.46362305,26.46362305,73.86029965,73.86127211
378,33.31281477,0.03748399,0.03754183,0.00225042,0.00225390,2.43554688,2.43554688,0.00549384,0.00550246,165.62500000,165.62500000,1903.55306038,1906.54183715,728.63121681,728.64095265,26.90664927,26.90664927,74.69449536,74.69524177
379,33.34577502,0.07690394,0.07695535,0.00461252,0.00461560,2.43750000,2.43750000,0.01126178,0.01126962,166.25000000,166.87500000,3909.28405551,3912.00252748,729.93630076,729.94806645,27.04200745,27.14366913,75.01634913,75.08834902
380,33.42163834,0.00440319,0.00440767,0.00026349,0.00026376,2.44335938,2.44335938,0.00064354,0.00064421,168.12500000,168.12500000,224.33808162,224.57226280,732.60923228,732.62281035,27.31278737,27.31278737,75.44802982,75.44907474
381,33.44203367,0.12253643,0.12249194,0.00732829,0.00732563,2.44335938,2.44335938,0.01789953,0.01789351,168.87500000,168.87500000,6246.91654632,6244.81677982,732.76232525,732.77606027,27.43462880,27.43462880,75.54487674,75.54593374
382,33.50847502,0.04316131,0.04315570,0.00257614,0.00257581,2.45117188,2.45117188,0.00629399,0.00629334,171.50000000,171.50000000,2204.73841412,2204.51123399,737.01257917,737.02481050,27.93085734,27.93085734,76.59390888,76.59485698
383,33.53269090,0.01886770,0.01885845,0.00112533,0.00112478,2.45312500,2.45312500,0.00274966,0.00274839,172.87500000,172.87500000,964.48434056,964.03750589,738.50679094,738.51884372,28.17237854,28.17237854,76.97619501,76.97713118
384,33.67071029,0.11117426,0.11115766,0.00660362,0.00660263,2.45312500,2.45312500,0.01614440,0.01614242,172.87500000,172.87500000,5706.42801224,5705.72987565,739.15949876,739.17123864,28.17237854,28.17237854,77.02689262,77.02780449
385,33.68950921,0.10340371,0.10332765,0.00613863,0.00613411,2.46093750,2.46093750,0.01500873,0.01499810,176.25000000,176.25000000,5310.53882970,5306.77576960,743.00955082,743.02076008,28.77616882,28.77616882,78.06023179,78.06110759
386,33.76027259,0.04019368,0.04023870,0.00238112,0.00238379,2.46679688,2.46679688,0.00582342,0.00583010,178.37500000,178.37500000,2068.57637724,2070.94917384,746.57466569,746.58330123,29.17755127,29.17755127,78.86257298,78.86325101
387,33.77902166,0.02859132,0.02863453,0.00169284,0.00169540,2.46875000,2.46875000,0.00414043,0.00414680,179.75000000,179.75000000,1472.27532784,1474.54052319,747.95876078,747.96896650,29.43903605,29.43903605,79.32553057,79.32633416
388,33.88858375,0.02033204,0.02041047,0.00119993,0.00120456,2.47070312,2.47070312,0.00293614,0.00294754,180.37500000,180.37500000,1050.36967648,1054.44981467,748.94230963,748.95401419,29.54139709,29.54139709,79.51309272,79.51401514
389,33.88906280,0.03593621,0.03586215,0.00212081,0.00211644,2.47265625,2.47265625,0.00518946,0.00517891,181.12500000,181.12500000,1856.52023357,1852.74417803,749.64321702,749.65763198,29.62738037,29.62738037,79.61183979,79.61297585
390,33.94379017,0.08209422,0.08205367,0.00483707,0.00483468,2.47460938,2.47460938,0.01183850,0.01183297,181.87500000,181.87500000,4247.96275123,4245.97928083,750.88046523,750.89234206,29.78706360,29.78706360,79.93257696,79.93351496
391,33.96849227,0.01853751,0.01851143,0.00109145,0.00108992,2.47851562,2.47851562,0.00267154,0.00266786,184.00000000,184.00000000,959.92117147,958.59626939,753.70381173,753.71432827,30.17252604,30.17252604,80.59284639,80.59367977
392,34.19412306,0.02560800,0.02565859,0.00149780,0.00150076,2.48046875,2.48046875,0.00366944,0.00367679,184.75000000,184.75000000,1334.85777024,1337.53060814,754.34034559,754.34997509,30.31430562,30.31430562,80.85574563,80.85651000
393,34.39074874,0.11326908,0.11334077,0.00658718,0.00659135,2.48242188,2.48242188,0.01615034,0.01616100,185.37500000,185.37500000,5938.28194066,5942.20081432,755.22461212,755.23599989,30.41685740,30.41685740,81.05939726,81.06030244
