"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
57.23725850,0.17717010,0.18754824,2.64644814,2.64643312,592.50000000,592.50000000,1099.00000000,1099.00000000,100.50502014,100.50473022,164.99508551,164.99412602
57.35082251,0.18461144,0.18775029,2.64717913,2.64717674,593.50000000,593.50000000,1100.00000000,1100.00000000,100.67167664,100.67162323,165.24003532,165.23987170
57.46438651,0.20367405,0.20442438,2.64798427,2.64798474,595.00000000,595.00000000,1101.00000000,1101.00000000,100.94158173,100.94159698,165.55255603,165.55259539
57.57795052,0.21390426,0.21403647,2.64882803,2.64882898,596.50000000,596.50000000,1102.00000000,1102.00000000,101.21234131,101.21235657,165.86685883,165.86691481
57.69151452,0.20840151,0.20841327,2.64964843,2.64964962,598.00000000,598.00000000,1103.00000000,1103.00000000,101.48268890,101.48270416,166.17894636,166.17900238
57.80507853,0.19921680,0.19921090,2.65043116,2.65043235,599.50000000,599.50000000,1104.00000000,1104.00000000,101.75238800,101.75241089,166.48791925,166.48800226
57.91864253,0.19830248,0.19829661,2.65120888,2.65121007,600.50000000,600.50000000,1105.00000000,1105.00000000,101.92018890,101.92019653,166.68197660,166.68203470
58.03220654,0.20404761,0.20404157,2.65200734,2.65200853,602.00000000,602.00000000,1106.00000000,1106.00000000,102.19031525,102.19033813,166.99079791,166.99086654
58.14577054,0.20950484,0.20949864,2.65282583,2.65282679,603.50000000,603.50000000,1107.00000000,1107.00000000,102.46089935,102.46091461,167.30015920,167.30023215
58.25933455,0.21440367,0.21439732,2.65366173,2.65366268,605.00000000,605.00000000,1108.00000000,1108.00000000,102.73190308,102.73192596,167.60995600,167.61002471
58.37289855,0.22113377,0.22112722,2.65452218,2.65452313,606.50000000,606.50000000,1109.00000000,1109.00000000,103.00344849,103.00347137,167.92057074,167.92062268
58.48646256,0.22297014,0.22296353,2.65538788,2.65538907,608.00000000,608.00000000,1111.00000000,1111.00000000,103.27516937,103.27519989,168.33770475,168.33778384
58.60002656,0.20702630,0.20702017,2.65619040,2.65619135,609.50000000,609.50000000,1112.00000000,1112.00000000,103.54573059,103.54573822,168.64353318,168.64356031
58.71359057,0.17219140,0.17218631,2.65685654,2.65685749,611.00000000,611.00000000,1113.00000000,1113.00000000,103.81369781,103.81372070,168.93994231,168.94001121
58.82715457,0.13840456,0.13840046,2.65739083,2.65739179,612.00000000,612.00000000,1113.00000000,1113.00000000,104.02813721,104.02816010,169.14428028,169.14434920
58.94071858,0.13276930,0.13276537,2.65790248,2.65790343,612.50000000,612.50000000,1114.00000000,1114.00000000,104.08916473,104.08918762,169.25981989,169.25990361
59.05428258,0.16581922,0.16581431,2.65854025,2.65854120,614.00000000,614.00000000,1115.00000000,1115.00000000,104.35669708,104.35672760,169.60703480,169.60713102
59.16784659,0.22144949,0.22144293,2.65939045,2.65939116,615.50000000,615.50000000,1116.00000000,1116.00000000,104.67950439,104.67951965,169.99603830,169.99609496
59.28141059,0.27005564,0.27004764,2.66042495,2.66042590,617.00000000,617.00000000,1117.00000000,1117.00000000,104.90397644,104.90399933,170.23037455,170.23044362
59.39497460,0.29094663,0.29093801,2.66153765,2.66153836,619.50000000,619.50000000,1119.00000000,1119.00000000,105.33421326,105.33421326,170.74545147,170.74546644
59.50853860,0.28098781,0.28097949,2.66261005,2.66261077,621.00000000,621.00000000,1120.00000000,1120.00000000,105.66170502,105.66170502,171.14600767,171.14603980
59.62210261,0.24680484,0.24679753,2.66355038,2.66355109,623.00000000,623.00000000,1122.00000000,1122.00000000,105.98665619,105.98667145,171.53723667,171.53730865
59.73566661,0.19832005,0.19831418,2.66430426,2.66430497,624.50000000,624.50000000,1123.00000000,1123.00000000,106.30801392,106.30802917,171.91573506,171.91577485
59.84923062,0.14939321,0.14938878,2.66487122,2.66487193,625.50000000,625.50000000,1123.00000000,1123.00000000,106.42144775,106.42147064,171.95128489,171.95133700
59.96279462,0.11429346,0.11429007,2.66530418,2.66530490,626.00000000,626.00000000,1124.00000000,1124.00000000,106.53223419,106.53224182,172.19956513,172.19959261
60.07635863,0.09883385,0.09883093,2.66567779,2.66567850,627.00000000,627.00000000,1124.00000000,1124.00000000,106.74398041,106.74400330,172.38721154,172.38726368
60.18992263,0.09791803,0.09791514,2.66604733,2.66604805,627.50000000,627.50000000,1125.00000000,1125.00000000,106.85352325,106.85355377,172.57594479,172.57600926
60.30348664,0.10243686,0.10243382,2.66643310,2.66643381,628.50000000,628.50000000,1125.00000000,1125.00000000,106.96340942,106.96343231,172.59875547,172.59882486
60.41705064,0.10641691,0.10635105,2.66683316,2.66683364,629.00000000,629.00000000,1126.00000000,1126.00000000,107.07359314,107.07360840,172.78935951,172.78940141
60.53061465,0.10808600,0.10771607,2.66723871,2.66723776,630.00000000,630.00000000,1127.00000000,1127.00000000,107.28607178,107.28604889,173.08938349,173.08931606
60.64417865,0.10793664,0.10615259,2.66764307,2.66763544,630.50000000,630.50000000,1127.00000000,1127.00000000,107.39636230,107.39620972,173.16843296,173.16794565
60.75774266,0.10803324,0.10134882,2.66804695,2.66801429,631.00000000,631.00000000,1128.00000000,1128.00000000,107.40447998,107.40383911,173.25038535,173.24832517
60.87130666,0.11376535,0.09467444,2.66847134,2.66836762,632.00000000,632.00000000,1128.00000000,1128.00000000,107.61740875,107.61533356,173.43928748,173.43262833
60.98487067,0.13329988,0.09233880,2.66896772,2.66871142,632.50000000,632.50000000,1129.00000000,1129.00000000,107.72961426,107.72444153,173.63603263,173.61948258
61.09843467,0.16891702,0.10470960,2.66959572,2.66910076,633.50000000,633.50000000,1129.00000000,1129.00000000,107.94668579,107.93671417,173.83727306,173.80533957
61.21199868,0.20565552,0.13698391,2.67035890,2.66960883,634.00000000,634.00000000,1130.00000000,1130.00000000,107.96208191,107.94695282,173.88653117,173.83812241
61.32556268,0.21598420,0.17742858,2.67115879,2.67026615,635.50000000,635.50000000,1131.00000000,1131.00000000,108.28494263,108.26691437,174.26276683,174.20513239
61.43912669,0.18458173,0.19977171,2.67184114,2.67100453,637.00000000,637.00000000,1132.00000000,1132.00000000,108.50325012,108.48633575,174.52272389,174.46872223
61.55269069,0.12512114,0.18435135,2.67230272,2.67168474,638.00000000,638.00000000,1133.00000000,1133.00000000,108.71713257,108.70462036,174.76809581,174.72816845
61.66625470,0.06656596,0.13653110,2.67254806,2.67218781,639.00000000,639.00000000,1134.00000000,1134.00000000,108.92667389,108.91935730,175.05594432,175.03265103
61.77981870,0.02771805,0.08056773,2.67264986,2.67248392,639.50000000,639.50000000,1134.00000000,1134.00000000,109.03102112,109.02763367,175.17001928,175.15925091
61.89338271,0.00929470,0.03781679,2.67268395,2.67262268,640.00000000,640.00000000,1134.00000000,1134.00000000,109.03170013,109.03047180,175.05835677,175.05441300
62.00694671,0.00394077,0.01434586,2.67269850,2.67267513,640.00000000,640.00000000,1134.00000000,1134.00000000,109.03200531,109.03153229,175.05930279,175.05781175
62.12051072,0.00724585,0.00568243,2.67272496,2.67269611,640.00000000,640.00000000,1134.00000000,1134.00000000,109.03255463,109.03195190,175.06103083,175.05916853
62.23407472,0.02171392,0.00727955,2.67280412,2.67272258,640.00000000,640.00000000,1134.00000000,1134.00000000,109.03414917,109.03249359,175.06613125,175.06086882
62.34763873,0.05408447,0.02047732,2.67300129,2.67279720,640.00000000,640.00000000,1134.00000000,1134.00000000,109.03816986,109.03400421,175.07890584,175.06567148
62.46120273,0.10622361,0.05133678,2.67338753,2.67298388,640.50000000,640.50000000,1135.00000000,1135.00000000,109.14828491,109.14009094,175.32511388,175.29897376
62.57476674,0.16423271,0.10215109,2.67398357,2.67335463,641.50000000,641.50000000,1135.00000000,1135.00000000,109.36501312,109.35221863,175.52099968,175.48029843
62.68833074,0.20018843,0.16036124,2.67470884,2.67393565,642.50000000,642.50000000,1136.00000000,1136.00000000,109.58443451,109.56865692,175.83921444,175.78907745
62.80189475,0.19267256,0.19878332,2.67540574,2.67465448,644.00000000,644.00000000,1137.00000000,1137.00000000,109.80328369,109.78796387,176.04060640,175.99195127
62.91545875,0.14678116,0.19476866,2.67593551,2.67535758,645.00000000,645.00000000,1138.00000000,1138.00000000,110.01880646,110.00697327,176.34565204,176.30811147
63.02902276,0.08946060,0.15093251,2.67625809,2.67590165,646.00000000,646.00000000,1139.00000000,1139.00000000,110.12774658,110.12043762,176.41544970,176.39230212
63.14258676,0.04673023,0.09252044,2.67642617,2.67623448,647.00000000,647.00000000,1140.00000000,1140.00000000,110.33588409,110.33196259,176.69656594,176.68412634
63.25615077,0.02935064,0.04484801,2.67653155,2.67639542,647.00000000,647.00000000,1140.00000000,1140.00000000,110.33805084,110.33525085,176.70342777,176.69456315
63.36971477,0.03577841,0.01718294,2.67665982,2.67645693,647.00000000,647.00000000,1140.00000000,1140.00000000,110.34066772,110.33650970,176.71173653,176.69857223
63.48327878,0.05977361,0.00523365,2.67687345,2.67647576,647.00000000,647.00000000,1140.00000000,1140.00000000,110.34506226,110.33689117,176.72564123,176.69977559
63.59684278,0.09304498,0.00146079,2.67720580,2.67648101,647.50000000,647.50000000,1140.00000000,1140.00000000,110.45422363,110.43936157,176.85336790,176.80628215
63.71040679,0.12563136,0.00119307,2.67765379,2.67648530,647.50000000,647.50000000,1140.00000000,1140.00000000,110.46342468,110.43945312,176.88251116,176.80656026
63.82397079,0.14821109,0.00332086,2.67818117,2.67649698,647.50000000,647.50000000,1140.00000000,1140.00000000,110.47423553,110.43968964,176.91677312,176.80731782
63.93753480,0.15480087,0.00906225,2.67873096,2.67652917,647.50000000,647.50000000,1140.00000000,1140.00000000,110.48550415,110.44033813,176.95246386,176.80937696
64.05109880,0.14368465,0.02027624,2.67924070,2.67660117,647.50000000,647.50000000,1140.00000000,1140.00000000,110.49592590,110.44182587,176.98556867,176.81408336
64.16466281,0.11749989,0.03740409,2.67965651,2.67673349,647.50000000,647.50000000,1140.00000000,1140.00000000,110.50446320,110.44453430,177.01260501,176.82267226
64.27822681,0.08320934,0.05800058,2.67995048,2.67693853,648.00000000,648.00000000,1141.00000000,1141.00000000,110.61289978,110.55110931,177.19575053,176.99989943
64.39179082,0.05004187,0.07753845,2.68012714,2.67721200,648.50000000,648.50000000,1141.00000000,1141.00000000,110.71894836,110.65909576,177.31331910,177.12368492
