"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
39.58309865,0.78920062,0.78920062,3.03634548,3.03634548,402.50000000,402.50000000,887.50000000,887.50000000,72.77294922,72.77294922,144.31109707,144.31109707
39.65241932,0.96959653,0.96959653,3.03973579,3.03973579,405.75000000,405.75000000,890.00000000,890.00000000,73.40542603,73.40542603,145.12247072,145.12247072
39.72173998,1.16373905,1.16373905,3.04379749,3.04379749,409.50000000,409.50000000,892.50000000,892.50000000,74.15412903,74.15412903,146.08184630,146.08184630
39.79106064,1.36137189,1.36137189,3.04854083,3.04854083,414.00000000,414.00000000,895.50000000,895.50000000,75.01951599,75.01951599,147.09240031,147.09240031
39.86038131,1.54989827,1.54989827,3.05393171,3.05393171,419.25000000,419.25000000,898.50000000,898.50000000,76.00163269,76.00163269,148.23625221,148.23625221
39.92970197,1.71550670,1.71550670,3.05988812,3.05988812,425.00000000,425.00000000,902.50000000,902.50000000,77.09999847,77.09999847,149.59748848,149.59748848
39.99902263,1.84489902,1.84489902,3.06628275,3.06628275,431.25000000,431.25000000,906.50000000,906.50000000,78.31369781,78.31369781,151.06986121,151.06986121
40.06834330,1.92703983,1.92703983,3.07295060,3.07295060,438.00000000,438.00000000,910.50000000,910.50000000,79.64132690,79.64132690,152.63661438,152.63661438
40.13766396,1.95479621,1.95479621,3.07970262,3.07970262,444.75000000,444.75000000,914.50000000,914.50000000,80.91738129,80.91738129,154.16892182,154.16892182
40.20698462,1.92608977,1.92608977,3.08634424,3.08634424,451.50000000,451.50000000,918.50000000,918.50000000,82.24880981,82.24880981,155.76806127,155.76806127
40.27630528,1.84435462,1.84435462,3.09269285,3.09269285,458.25000000,458.25000000,922.50000000,922.50000000,83.52419281,83.52419281,157.21692526,157.21692526
40.34562595,1.71791733,1.71791733,3.09859633,3.09859633,464.50000000,464.50000000,926.00000000,926.00000000,84.74152374,84.74152374,158.56229130,158.56229130
40.41494661,1.55895714,1.55895714,3.10394430,3.10394430,470.25000000,470.25000000,929.50000000,929.50000000,85.84442902,85.84442902,159.86264424,159.86264424
40.48426727,1.38160883,1.38160883,3.10867572,3.10867572,475.25000000,475.25000000,932.50000000,932.50000000,86.83174133,86.83174133,161.01710501,161.01710501
40.55358794,1.20003887,1.20003887,3.11277819,3.11277819,479.75000000,479.75000000,935.00000000,935.00000000,87.70290375,87.70290375,162.03125222,162.03125222
40.62290860,1.02670733,1.02670733,3.11628222,3.11628222,483.75000000,483.75000000,937.00000000,937.00000000,88.45796967,88.45796967,162.80031550,162.80031550
40.69222926,0.87114262,0.87114262,3.11925030,3.11925030,487.00000000,487.00000000,939.00000000,939.00000000,89.09736633,89.09736633,163.55497812,163.55497812
