"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
15.17438390,0.16225281,0.16228168,0.02138509,0.02138890,0.39111328,0.39111328,0.58447266,0.58398438,0.09868775,0.09871002,4.88671875,4.88671875,7941.50034009,7943.29224127,230.28252188,230.28737122,0.01812872,0.01812872,0.03282528,0.03282559
15.26597360,0.10419063,0.10419533,0.01365005,0.01365066,0.41259766,0.41259766,0.60644531,0.60644531,0.06304964,0.06305549,5.40234375,5.40234375,5130.41415151,5130.89028159,246.92415885,246.93230972,0.02697971,0.02697971,0.05056317,0.05056395
15.41806922,0.09561269,0.09562832,0.01240268,0.01240471,0.42626953,0.42626953,0.62060547,0.62060547,0.05737414,0.05738626,5.75000000,5.75000000,4754.93728940,4755.94161850,257.10300343,257.11175754,0.03410816,0.03410816,0.06524046,0.06524153
15.47227157,0.09462379,0.09463872,0.01223140,0.01223333,0.43872070,0.43872070,0.63378906,0.63330078,0.05661187,0.05662351,6.08984375,6.08984375,4722.30118833,4723.27174349,266.18957843,266.19992014,0.04173820,0.04173820,0.08114978,0.08115132
15.70358558,0.05904912,0.05907032,0.00752046,0.00752316,0.45092773,0.45092773,0.64648438,0.64599609,0.03488589,0.03490007,6.44531250,6.44531250,2990.96631230,2992.18271790,274.91670166,274.92848020,0.05003437,0.05003437,0.09864595,0.09864804
15.90267694,0.15394645,0.15393568,0.01936107,0.01935972,0.45849609,0.45825195,0.65429688,0.65380859,0.08998284,0.08998084,6.67578125,6.67578125,7896.58236202,7896.40695390,280.30369096,280.31741285,0.05606783,0.05628005,0.11151749,0.11187877
15.93578680,0.05239123,0.05238074,0.00657529,0.00657398,0.47778320,0.47778320,0.67431641,0.67431641,0.03056901,0.03056435,7.30468750,7.30468750,2692.96892290,2692.55843628,294.05227686,294.06505896,0.07370338,0.07370338,0.14947779,0.14948111
15.96218456,0.10063477,0.10063526,0.01260915,0.01260921,0.48437500,0.48437500,0.68115234,0.68115234,0.05863545,0.05863854,7.51953125,7.53515625,5181.31062816,5181.58349785,298.59623314,298.60813340,0.08041287,0.08057997,0.16411232,0.16428129
16.05905440,0.08985115,0.08986807,0.01119009,0.01119220,0.49682617,0.49682617,0.69384766,0.69384766,0.05208393,0.05209622,7.98828125,7.98828125,4654.17672390,4655.27532424,307.14983490,307.16184795,0.09497379,0.09497379,0.19557610,0.19558007
16.66769356,0.02556608,0.02558603,0.00306774,0.00307013,0.50830078,0.50830078,0.70556641,0.70556641,0.01435860,0.01437050,8.40625000,8.40625000,1374.48133955,1375.61986760,314.63502316,314.64849619,0.10929604,0.10929604,0.22701105,0.22701614
16.74397928,0.03329144,0.03331372,0.00397653,0.00397919,0.51123047,0.51123047,0.70898438,0.70849609,0.01862491,0.01863826,8.53906250,8.53906250,1798.00339726,1799.29243828,316.81174085,316.82691809,0.11281441,0.11281441,0.23492522,0.23493112
16.74443174,0.09420177,0.09420524,0.01125171,0.01125213,0.51513672,0.51513672,0.71289062,0.71289062,0.05270000,0.05270446,8.68750000,8.68750000,5087.78502541,5088.21489183,319.63679785,319.65385726,0.11842092,0.11842092,0.24727892,0.24728586
16.93473995,0.05138864,0.05138002,0.00606902,0.00606800,0.52636719,0.52636719,0.72460938,0.72460938,0.02847369,0.02847027,9.15625000,9.15625000,2807.01598775,2806.67943745,327.49880544,327.51611160,0.13493975,0.13493975,0.28370253,0.28371047
17.24963896,0.06474624,0.06473585,0.00750697,0.00750576,0.53271484,0.53222656,0.73095703,0.73095703,0.03531687,0.03531289,9.42968750,9.42968750,3602.41576357,3602.00934712,331.75666316,331.77324002,0.14556428,0.14532447,0.30722887,0.30645820
17.26086643,0.12811648,0.12809729,0.01484473,0.01484251,0.54003906,0.54003906,0.73828125,0.73828125,0.06984448,0.06983736,9.77343750,9.77343750,7132.91176119,7132.18393368,337.14225382,337.15796319,0.15820295,0.15820295,0.33509106,0.33509940
