"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
28.13449231,0.08484006,0.08473002,0.00603104,0.00602321,2.64648438,2.64648438,2.99804688,2.99804688,0.01336849,0.01335095,184.00000000,184.00000000,3381.33949881,3376.90480027,707.09238625,707.08269076,31.22070313,31.22070313,84.01244374,84.01157545
28.21746311,0.14822038,0.14828448,0.01050558,0.01051012,2.65234375,2.65234375,3.00390625,3.00390625,0.02329634,0.02330608,186.12500000,186.12500000,5924.81295848,5927.28865732,709.47937404,709.46658580,31.60020192,31.60020192,84.70144373,84.70029399
28.45429520,0.09884087,0.09898314,0.00694734,0.00695734,2.66406250,2.66406250,3.01562500,3.01562500,0.01542374,0.01544571,190.62500000,190.62500000,3984.12673836,3989.80322677,713.64262425,713.63164520,32.42238363,32.42238363,86.03727921,86.03628468
28.65546380,0.23772777,0.23768481,0.01659214,0.01658914,2.66992188,2.66992188,3.02148438,3.02148438,0.03687202,0.03686482,193.62500000,193.62500000,9650.19542068,9648.31087152,716.42858812,716.42161347,33.01142375,33.01142375,86.94897579,86.94834094
28.66273354,0.27748004,0.27748674,0.01936173,0.01936220,2.68750000,2.68750000,3.03906250,3.03906250,0.04302826,0.04302868,201.25000000,201.25000000,11266.73533955,11266.84344256,723.13215756,723.12394451,34.41378276,34.41378276,89.16878466,89.16802820
28.82539553,0.15148517,0.15152899,0.01051054,0.01051358,2.70703125,2.70703125,3.05859375,3.05859375,0.02337623,0.02338265,210.12500000,210.12500000,6185.77532571,6187.47454858,730.88087445,730.87282243,36.05965932,36.05965932,91.72335119,91.72259995
29.33197761,0.27539124,0.27556090,0.01877754,0.01878911,2.71679688,2.71679688,3.06835938,3.06835938,0.04186328,0.04188847,215.12500000,215.12500000,11443.00820110,11449.89121038,735.10042033,735.09357031,37.00524648,37.00524648,93.14647575,93.14583233
29.52839507,0.28932920,0.28950049,0.01959668,0.01960828,2.73632812,2.73632812,3.08789062,3.08789062,0.04372971,0.04375496,224.50000000,224.50000000,12102.66043491,12109.64930998,742.84294179,742.84079608,38.70925903,38.70925903,95.71650984,95.71630578
30.42911561,0.16988482,0.16994206,0.01116594,0.01116970,2.75585938,2.75585938,3.10742188,3.10742188,0.02501981,0.02502788,234.37500000,234.37500000,7323.06083383,7325.42153561,750.94493580,750.94746663,40.57884216,40.57884216,98.51397326,98.51421710
30.48577626,0.46797571,0.46802959,0.03070125,0.03070478,2.76562500,2.76562500,3.11914062,3.11914062,0.06881066,0.06881758,240.00000000,240.00000000,20210.13979247,20212.17204535,755.80510546,755.80918172,41.60156250,41.60156250,100.02381387,100.02420910
31.19268019,0.41529240,0.41542873,0.02662756,0.02663630,2.79687500,2.79687500,3.15039062,3.15039062,0.05986800,0.05988678,257.50000000,257.50000000,18350.81793611,18356.57450824,769.05883860,769.06416586,44.84456380,44.84456380,104.56810785,104.56863402
32.56632856,0.30676582,0.30683500,0.01883945,0.01884370,2.82421875,2.82421875,3.17773438,3.17773438,0.04260730,0.04261629,273.00000000,273.00000000,14152.21807547,14155.20327636,780.89840259,780.90733492,47.76611328,47.76611328,108.64038626,108.64128293
32.73453973,0.01136126,0.01129873,0.00069415,0.00069032,2.84179688,2.84179688,3.19531250,3.19531250,0.00157098,0.00156231,285.00000000,285.00000000,526.84347718,523.93600483,789.90792707,789.91864708,50.06866455,50.06866455,111.86808967,111.86917961
32.94561220,0.67266700,0.67249128,0.04083500,0.04082433,2.84375000,2.84375000,3.19726562,3.19726562,0.09249785,0.09247234,285.00000000,285.00000000,31393.98533497,31385.32670994,790.24134081,790.25021671,50.06866455,50.06866455,111.95166969,111.95257301
33.13625535,0.70250561,0.70268314,0.04240103,0.04241174,2.88476562,2.88476562,3.23828125,3.23828125,0.09612039,0.09614328,313.00000000,313.00000000,32976.30349911,32984.15633980,809.86132273,809.86463790,55.36977132,55.36977132,118.95324499,118.95359058
35.84495674,0.21178878,0.21158630,0.01181694,0.01180564,2.92578125,2.92578125,3.28125000,3.28125000,0.02707377,0.02704749,345.00000000,345.00000000,10754.24068071,10743.80248766,829.97088235,829.97884796,61.38153076,61.38153076,126.47563017,126.47648077
36.14009702,0.18439475,0.18424755,0.01020444,0.01019630,2.93750000,2.93750000,3.29296875,3.29296875,0.02340512,0.02338609,354.75000000,354.75000000,9440.31773886,9432.64408910,836.42447730,836.42614171,63.29666138,63.29666138,128.89447041,128.89464945
36.29086789,0.22572378,0.22573040,0.01243970,0.01244007,2.94921875,2.94921875,3.30273438,3.30273438,0.02854788,0.02854830,363.00000000,363.00000000,11604.41923309,11604.59072883,842.04882517,842.04592193,64.84252930,64.84252930,130.84653039,130.84621634
36.84301795,0.36691045,0.36689050,0.01991750,0.01991642,2.96093750,2.96093750,3.31445312,3.31445312,0.04580118,0.04579802,373.00000000,373.00000000,19149.79046355,19148.46997899,848.91144603,848.90866727,66.70471191,66.70471191,133.17380794,133.17350541
37.10996165,0.24978226,0.24983329,0.01346174,0.01346449,2.98046875,2.98046875,3.33593750,3.33593750,0.03098575,0.03099162,391.00000000,391.00000000,13131.09180325,13133.58293876,860.11652331,860.11301312,70.12257894,70.12257894,137.28557690,137.28519066
37.17450570,0.16019772,0.16026207,0.00861869,0.00862215,2.99414062,2.99414062,3.34960938,3.34960938,0.01984279,0.01985048,403.50000000,403.50000000,8436.26604345,8439.53230146,867.71627014,867.71422616,72.56958008,72.56958008,140.26086459,140.26063769
37.44978056,0.13302657,0.13300569,0.00710426,0.00710315,3.00195312,3.00195312,3.35742188,3.35742188,0.01637226,0.01636945,411.50000000,411.50000000,7057.26461587,7056.05416668,872.56391830,872.56375732,74.17582194,74.17582194,142.23652633,142.23650836
38.04544553,0.49247030,0.49231209,0.02588853,0.02588021,3.00976562,3.00976562,3.36523438,3.36523438,0.05978750,0.05976742,417.75000000,417.75000000,26541.86690652,26532.95294821,876.59857183,876.59772116,75.30242920,75.30242920,143.61347318,143.61337789
38.11181313,0.53642446,0.53621745,0.02815004,0.02813917,3.03515625,3.03515625,3.39062500,3.39062500,0.06502536,0.06499931,443.00000000,443.00000000,28961.22493867,28949.62667267,891.60917617,891.60334101,80.21443685,80.21443685,149.37249835,149.37183518
39.58708690,0.41476013,0.41481617,0.02095431,0.02095715,3.06445312,3.06445312,3.41796875,3.41796875,0.04864828,0.04865415,473.50000000,473.50000000,23259.44181547,23262.24590302,907.70487934,907.69275879,86.07426961,86.07426961,155.93428737,155.93288867
42.01337757,0.20534105,0.20542124,0.00977503,0.00977885,3.08398438,3.08398438,3.43945312,3.43945312,0.02287287,0.02288147,496.25000000,496.25000000,12221.15143465,12225.74579011,920.42793840,920.41750867,90.31079610,90.31079610,160.56828071,160.56706715
42.13453724,0.26253325,0.26248270,0.01246167,0.01245927,3.09375000,3.09375000,3.44921875,3.44921875,0.02917044,0.02916440,508.00000000,508.00000000,15670.08241328,15666.83743305,927.04300937,927.03513205,92.65584310,92.65584310,163.25089873,163.24997649
42.23049710,0.23740124,0.23765090,0.01124312,0.01125494,3.10742188,3.10742188,3.46289062,3.46289062,0.02632591,0.02635322,524.00000000,524.00000000,14202.27488336,14217.00356155,935.45647875,935.44693783,95.62744141,95.62744141,166.41049907,166.40937528
44.03452997,0.29695244,0.29708958,0.01348725,0.01349348,3.11914062,3.11914062,3.47265625,3.47460938,0.03175409,0.03176829,536.50000000,536.50000000,18523.75417769,18532.03857854,943.01701921,943.01536417,98.29065959,98.29065959,169.58039071,169.58019426
45.11574120,0.10499277,0.10520709,0.00465437,0.00466388,3.13281250,3.13281250,3.48632812,3.48632812,0.01099287,0.01101515,553.50000000,553.50000000,6710.21215633,6723.81167187,952.78793690,952.79064628,101.63040161,101.63040161,173.30557385,173.30589790
