"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
24.88138244,0.36728147,0.36709373,0.23436831,0.23424858,7.05468750,7.05468750,442.50000000,442.50000000,0.00013091,0.00012974,0.00018212,0.00018044
24.97055944,0.37680628,0.37644326,0.23705968,0.23693734,7.23046875,7.23046875,448.25000000,448.25000000,0.00016352,0.00016208,0.00022820,0.00022613
25.05973644,0.38250404,0.38197655,0.23978202,0.23965594,7.41406250,7.41406250,453.75000000,453.75000000,0.00020320,0.00020143,0.00028435,0.00028179
25.14891343,0.38448263,0.38381780,0.24250874,0.24237794,7.60156250,7.60156250,459.50000000,459.50000000,0.00025064,0.00024847,0.00035176,0.00034860
25.23809043,0.38280161,0.38203989,0.24521394,0.24507776,7.79296875,7.79296875,465.00000000,465.00000000,0.00030650,0.00030384,0.00043127,0.00042739
25.32726743,0.37744797,0.37663853,0.24787192,0.24773005,7.98828125,7.98828125,470.50000000,470.50000000,0.00037120,0.00036797,0.00052364,0.00051891
25.41644443,0.36841110,0.36760598,0.25045717,0.25030962,8.17968750,8.17968750,475.75000000,475.75000000,0.00044435,0.00044047,0.00062826,0.00062256
25.50562143,0.35579415,0.35504246,0.25294513,0.25279236,8.36718750,8.36718750,480.75000000,480.75000000,0.00052547,0.00052088,0.00074464,0.00073788
25.59479842,0.33992954,0.33927250,0.25531390,0.25515652,8.55468750,8.55468750,485.50000000,485.50000000,0.00061401,0.00060867,0.00087163,0.00086373
25.68397542,0.32146530,0.32093280,0.25754622,0.25738513,8.72656250,8.72656250,490.00000000,490.00000000,0.00070739,0.00070127,0.00100620,0.00099713
25.77315242,0.30138065,0.30098949,0.25963181,0.25946802,8.89843750,8.89843750,494.25000000,494.25000000,0.00080597,0.00079908,0.00114808,0.00113783
25.86232942,0.28091414,0.28066759,0.26156905,0.26140359,9.05468750,9.05468750,498.00000000,498.00000000,0.00090644,0.00089881,0.00129318,0.00128180
