"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
4.84077466,0.31729222,0.31694423,0.28524163,0.28535891,1.44628906,1.44628906,48.93750000,48.93750000,0.00041354,0.00041540,0.00054230,0.00054486
4.92011523,0.32735812,0.32691913,0.29579940,0.29590252,1.46777344,1.46777344,50.40625000,50.40625000,0.00061556,0.00061774,0.00082459,0.00082765
4.99945580,0.33560153,0.33509870,0.30645129,0.30653846,1.48925781,1.48925781,51.90625000,51.90625000,0.00088295,0.00088531,0.00120923,0.00121266
5.07879637,0.34201059,0.34147350,0.31713703,0.31720740,1.51074219,1.51074219,53.40625000,53.40625000,0.00122287,0.00122526,0.00171347,0.00171702
5.15813694,0.34673453,0.34619211,0.32780370,0.32785740,1.53320312,1.53320312,54.90625000,54.90625000,0.00164358,0.00164579,0.00235696,0.00236037
5.23747750,0.35002306,0.34950094,0.33840844,0.33844632,1.55566406,1.55566406,56.40625000,56.40625000,0.00214914,0.00215100,0.00315481,0.00315777
5.31681807,0.35233570,0.35185434,0.34892395,0.34894747,1.57910156,1.57910156,57.90625000,57.90625000,0.00274486,0.00274621,0.00412482,0.00412703
5.39615864,0.35400341,0.35357706,0.35933387,0.35934484,1.60156250,1.60156250,59.40625000,59.40625000,0.00342912,0.00342985,0.00527822,0.00527945
5.47549921,0.35543966,0.35507617,0.36963460,0.36963505,1.62500000,1.62500000,60.87500000,60.87500000,0.00420792,0.00420796,0.00663176,0.00663182
5.55483978,0.35701359,0.35671499,0.37983316,0.37982506,1.64843750,1.64843750,62.34375000,62.34375000,0.00508054,0.00507986,0.00819723,0.00819601
5.63418035,0.35902135,0.35878489,0.38994464,0.38992989,1.67187500,1.67187500,63.81250000,63.81250000,0.00604844,0.00604707,0.00999230,0.00998975
5.71352091,0.36166854,0.36148805,0.39998922,0.39996946,1.69531250,1.69531250,65.25000000,65.25000000,0.00711346,0.00711146,0.01203488,0.01203101
5.79286148,0.36507485,0.36494214,0.40998957,0.40996614,1.71875000,1.71875000,66.75000000,66.75000000,0.00827783,0.00827524,0.01434489,0.01433974
5.87220205,0.36926937,0.36917550,0.41996810,0.41994217,1.74316406,1.74316406,68.18750000,68.18750000,0.00955045,0.00954736,0.01694385,0.01693747
5.95154262,0.37422241,0.37415872,0.42994571,0.42991805,1.76855469,1.76855469,69.68750000,69.68750000,0.01093643,0.01093289,0.01986819,0.01986062
6.03088319,0.37986918,0.37982793,0.43994060,0.43991187,1.79296875,1.79296875,71.12500000,71.12500000,0.01242490,0.01242096,0.02311031,0.02310159
6.11022376,0.38614290,0.38611765,0.44996864,0.44993925,1.81933594,1.81933594,72.62500000,72.62500000,0.01403398,0.01402969,0.02673123,0.02672143
6.18956432,0.39300654,0.39299226,0.46004412,0.46001434,1.84570312,1.84570312,74.18750000,74.18750000,0.01576921,0.01576460,0.03077802,0.03076711
6.26890489,0.40048547,0.40047841,0.47018135,0.47015142,1.87207031,1.87207031,75.68750000,75.68750000,0.01761453,0.01760964,0.03522406,0.03521208
6.34824546,0.40869688,0.40869438,0.48039716,0.48036718,1.89941406,1.89941406,77.25000000,77.25000000,0.01960673,0.01960158,0.04016566,0.04015259
6.42758603,0.41787551,0.41787581,0.49071348,0.49068350,1.92773438,1.92773438,78.81250000,78.81250000,0.02173081,0.02172539,0.04561745,0.04560321
6.50692660,0.42839494,0.42839691,0.50116050,0.50113058,1.95703125,1.95703125,80.43750000,80.43750000,0.02400817,0.02400251,0.05166127,0.05164585
6.58626716,0.44077594,0.44077889,0.51178002,0.51175016,1.98730469,1.98730469,82.06250000,82.06250000,0.02645245,0.02644655,0.05834705,0.05833038
6.66560773,0.45567550,0.45567905,0.52262783,0.52259803,2.01757812,2.01757812,83.68750000,83.68750000,0.02904783,0.02904169,0.06570974,0.06569176
6.74494830,0.47384870,0.47385264,0.53377557,0.53374588,2.05078125,2.05078125,85.43750000,85.43750000,0.03190048,0.03189410,0.07405444,0.07403503
6.82428887,0.49607844,0.49608270,0.54531056,0.54528099,2.08593750,2.08593750,87.25000000,87.25000000,0.03499276,0.03498617,0.08339234,0.08337149
6.90362944,0.52305558,0.52306014,0.55733311,0.55730361,2.12304688,2.12304688,89.12500000,89.12500000,0.03835971,0.03835287,0.09393768,0.09391519
6.98297001,0.55529167,0.55529653,0.56995153,0.56992215,2.16210938,2.16210938,91.06250000,91.06250000,0.04208714,0.04208005,0.10603274,0.10600845
7.06231057,0.59296077,0.59296595,0.58327460,0.58324534,2.20312500,2.20312500,93.12500000,93.12500000,0.04618008,0.04617281,0.11985746,0.11983136
7.14165114,0.63580003,0.63580559,0.59740150,0.59737241,2.25000000,2.25000000,95.31250000,95.31250000,0.05078966,0.05078211,0.13588345,0.13585518
7.22099171,0.68305026,0.68305623,0.61241156,0.61238253,2.29882812,2.29882812,97.68750000,97.68750000,0.05586897,0.05586120,0.15440159,0.15437101
7.30033228,0.73345602,0.73346243,0.62835407,0.62832516,2.35351562,2.35351562,100.12500000,100.12500000,0.06160945,0.06160140,0.17592188,0.17588868
7.37967285,0.78533475,0.78534162,0.64524066,0.64521199,2.41210938,2.41210938,102.75000000,102.75000000,0.06797472,0.06796649,0.20096273,0.20092691
7.45901342,0.83670189,0.83670920,0.66304046,0.66301191,2.47656250,2.47656250,105.50000000,105.50000000,0.07503128,0.07502278,0.22978114,0.22974223
7.53835398,0.88542830,0.88543604,0.68167859,0.68165022,2.54492188,2.54492188,108.31250000,108.31250000,0.08287918,0.08287042,0.26310754,0.26306520
7.61769455,0.92941347,0.92942159,0.70103884,0.70101058,2.61914062,2.61914062,111.25000000,111.25000000,0.09137922,0.09137022,0.30067619,0.30063030
7.69703512,0.96669134,0.96669979,0.72096801,0.72093999,2.69726562,2.69726562,114.31250000,114.31250000,0.10068116,0.10067202,0.34355140,0.34350201
7.77637569,0.99557969,0.99558839,0.74128336,0.74125546,2.77929688,2.77929688,117.31250000,117.31250000,0.11059113,0.11058174,0.39097439,0.39092090
7.85571626,1.01473535,1.01474422,0.76178044,0.76175278,2.86523438,2.86523438,120.37500000,120.37500000,0.12105228,0.12104271,0.44276781,0.44271038
7.93505682,1.02322113,1.02323007,0.78224230,0.78221476,2.95507812,2.95507812,123.43750000,123.43750000,0.13220513,0.13219532,0.49991886,0.49985694
8.01439739,1.02056696,1.02057588,0.80244905,0.80242169,3.04492188,3.04492188,126.43750000,126.43750000,0.14356387,0.14355387,0.56028178,0.56021568
8.09373796,1.00683705,1.00684585,0.82218850,0.82216132,3.13476562,3.13476562,129.37500000,129.37500000,0.15512842,0.15511833,0.62390013,0.62383000
8.17307853,0.98268752,0.98269611,0.84126747,0.84124047,3.22460938,3.22460938,132.12500000,132.12500000,0.16692330,0.16691308,0.68980195,0.68972787
8.25241910,0.94941784,0.94942613,0.85952330,0.85949647,3.31445312,3.31445312,134.87500000,134.87500000,0.17862177,0.17861141,0.75736576,0.75728757
8.33175967,0.90893807,0.90894601,0.87683433,0.87680763,3.40234375,3.40234375,137.37500000,137.37500000,0.19013353,0.19012301,0.82490892,0.82482663
8.41110023,0.86366569,0.86367324,0.89312798,0.89310139,3.48632812,3.48632812,139.75000000,139.75000000,0.20138827,0.20137765,0.89263093,0.89254505
8.49044080,0.81635046,0.81635759,0.90838504,0.90835863,3.56640625,3.56640625,142.00000000,142.00000000,0.21219948,0.21218883,0.95884652,0.95875754
8.56978137,0.76976705,0.76977378,0.92263830,0.92261201,3.64453125,3.64453125,144.12500000,144.12500000,0.22281978,0.22280899,1.02436849,1.02427594
8.64912194,0.72642694,0.72643328,0.93596572,0.93593955,3.71679688,3.71679688,146.12500000,146.12500000,0.23281972,0.23280889,1.08838488,1.08828941
8.72846251,0.68829834,0.68830436,0.94847882,0.94845271,3.78906250,3.78906250,148.00000000,148.00000000,0.24249767,0.24248675,1.15020807,1.15010938
8.80780308,0.65660193,0.65660767,0.96030813,0.96028215,3.85742188,3.85742188,149.75000000,149.75000000,0.25203830,0.25202730,1.21134076,1.21123936
8.88714364,0.63173362,0.63173914,0.97158784,0.97156197,3.92382812,3.92382812,151.37500000,151.37500000,0.26117501,0.26116392,1.27137877,1.27127470
8.96648421,0.61330239,0.61330775,0.98244148,0.98241574,3.98828125,3.98828125,153.12500000,153.12500000,0.27009383,0.27008268,1.33141974,1.33131305
9.04582478,0.60037019,0.60037544,0.99297315,0.99294746,4.05078125,4.05078125,154.62500000,154.62500000,0.27898639,0.27897519,1.38986703,1.38975787
9.12516535,0.59170593,0.59171110,1.00326252,1.00323701,4.11718750,4.11718750,156.25000000,156.25000000,0.28804636,0.28803509,1.45040836,1.45029692
9.20450592,0.58609556,0.58610068,1.01336658,1.01334107,4.17968750,4.17968750,157.87500000,157.87500000,0.29696897,0.29695785,1.51274650,1.51263293
9.28384648,0.58262618,0.58263128,1.02332497,1.02329946,4.24218750,4.24218750,159.37500000,159.37500000,0.30593008,0.30591863,1.57382233,1.57370473
9.36318705,0.58095968,0.58096476,1.03317058,1.03314531,4.30859375,4.30859375,161.00000000,161.00000000,0.31511241,0.31510109,1.63768721,1.63756826
9.44252762,0.58134938,0.58135446,1.04294014,1.04291499,4.37109375,4.37109375,162.50000000,162.50000000,0.32418978,0.32417843,1.70169823,1.70157743
9.52186819,0.58432746,0.58433257,1.05267799,1.05265284,4.43750000,4.43750000,164.00000000,164.00000000,0.33352521,0.33351368,1.76661777,1.76649365
9.60120876,0.59097550,0.59098067,1.06244516,1.06242001,4.50390625,4.50390625,165.62500000,165.62500000,0.34297368,0.34296224,1.83425003,1.83412356
